exp,test,prob_num,key,standard,regents_ymn
1,A1,1,2,A-CED.A,14.8.13
1,A1,2,1,A-REI.B,14.8.20
1,A1,3,3,A-CED.A,14.8.09
1,A1,4,4,A-REI.D,14.8.05
1,A1,5,1,A-REI.D,14.8.07
1,A1,6,2,A-APR.A,14.8.06
1,A1,7,1,A-SSE.A,14.8.15
1,A1,8,2,A-SSE.A,15.6.17
1,A1,9,3,A-REI.B,14.8.03
1,A1,10,4,A-CED.A,14.8.19
1,A2,1,3,A-SSE.B,14.6.12
1,A2,2,1,A-CED.A,14.6.23
1,A2,3,2,A-REI.C,14.6.14
1,A2,4,1,A-REI.B,14.6.05
1,A2,5,2,A-CED.A,14.6.16
1,A2,6,4,A-CED.A,14.6.22
1,A2,7,2,A-REI.B,14.6.08
1,A2,8,1,A-REI.A,14.6.01
1,A2,9,2,A-REI.B,14.6.10
1,A2,10,2,A-REI.D,14.6.04
1,A3,1,1,A-REI.D,15.6.05
1,A3,2,3,A-REI.C,15.6.06
1,A3,3,2,A-SSE.A,15.6.03
1,A3,4,2,A-APR.B,15.6.12
1,A3,5,4,A-REI.B,15.6.18
1,A3,6,4,A-CED.A,15.6.24
1,A3,7,1,A-REI.A,15.6.21
1,A3,8,2,A-CED.A,15.6.19
1,A3,9,1,A-REI.B,15.6.23
1,A3,10,4,A-SSE.B,15.6.10
1,A4,1,4,A-REI.B,15.1.17
1,A4,2,1,A-SSE.B,15.8.20
1,A4,3,2,A-REI.D,15.8.17
1,A4,4,1,A-APR.B,15.1.24
1,A4,5,1,A-REI.B,15.1.07
1,A4,6,2,A-SSE.A,15.1.01
1,A4,7,4,A-CED.A,15.1.23
1,A4,8,3,A-REI.D,15.1.18
1,A4,9,3,A-CED.A,15.1.13
1,A4,10,4,A-SSE.B,15.1.19
1,F1,1,4,F-IF.A,14.8.24
1,F1,2,1,F-IF.A,14.8.11
1,F1,3,2,F-IF.C,14.8.22
1,F1,4,3,F-LE.A,14.8.12
1,F1,5,1,F-BF.B,14.8.17
1,F1,6,2,F-LE.B,14.8.02
1,F1,7,3,F-LE.A,14.8.10
1,F1,8,2,F-IF.B,14.8.23
1,F1,9,4,F-IF.B,14.8.14
1,F1,10,1,F-IF.C,14.8.08
1,F2,1,4,F-IF.B,14.6.02
1,F2,2,1,F-IF.A,14.6.20
1,F2,3,3,F-LE.B,14.6.07
1,F2,4,3,F-IF.A,15.8.12
1,F2,5,4,F-IF.A,14.6.21
1,F2,6,3,F-IF.B,14.6.09
1,F2,7,4,F-LE.A,14.6.06
1,F2,8,3,F-LE.A,14.6.15
1,F2,9,2,F-LE.A,14.6.24
1,F2,10,1,F-IF.B,14.6.18
1,F3,1,3,F-IF.A,15.6.04
1,F3,2,4,F-IF.A,15.6.09
1,F3,3,3,F-LE.B,15.6.01
1,F3,4,3,F-BF.A,15.6.22
1,F3,5,4,F-IF.C,15.8.21
1,F3,6,1,F-IF.C,15.6.07
1,F3,7,2,F-LE.A,15.6.13
1,F3,8,3,F-IF.C,15.6.14
1,F3,9,3,F-IF.B,15.6.11
1,F3,10,1,F-LE.A,15.6.15
1,F4,1,2,F-IF.C,15.8.16
1,F4,2,3,F-LE.A,15.8.18
1,F4,3,4,F-IF.C,15.1.09
1,F4,4,3,F-IF.A,15.1.20
1,F4,5,2,F-BF.B,15.1.12
1,F4,6,3,F-LE.A,15.1.05
1,F4,7,1,F-IF.B,15.1.21
1,F4,8,1,F-BF.A,15.1.04
1,F4,9,1,F-IF.A,15.1.08
1,F4,10,2,F-IF.B,15.1.06
2,A1,1,2,A-CED.A,14.8.13
2,A1,2,1,A-REI.B,14.8.20
2,A1,3,3,A-CED.A,14.8.09
2,A1,4,4,A-REI.D,14.8.05
2,A1,5,1,A-REI.D,14.8.07
2,A1,6,2,A-APR.A,14.8.06
2,A1,7,1,A-SSE.A,14.8.15
2,A1,8,2,A-SSE.A,15.6.17
2,A1,9,3,A-REI.B,14.8.03
2,A1,10,4,A-CED.A,14.8.19
2,A2,1,3,A-SSE.B,14.6.12
2,A2,2,1,A-CED.A,14.6.23
2,A2,3,2,A-REI.C,14.6.14
2,A2,4,1,A-REI.B,14.6.05
2,A2,5,2,A-CED.A,14.6.16
2,A2,6,4,A-CED.A,14.6.22
2,A2,7,2,A-REI.B,14.6.08
2,A2,8,1,A-REI.A,14.6.01
2,A2,9,2,A-REI.B,14.6.10
2,A2,10,2,A-REI.D,14.6.04
2,A3,1,1,A-REI.D,15.6.05
2,A3,2,3,A-REI.C,15.6.06
2,A3,3,2,A-SSE.A,15.6.03
2,A3,4,2,A-APR.B,15.6.12
2,A3,5,4,A-REI.B,15.6.18
2,A3,6,4,A-CED.A,15.6.24
2,A3,7,1,A-REI.A,15.6.21
2,A3,8,2,A-CED.A,15.6.19
2,A3,9,1,A-REI.B,15.6.23
2,A3,10,4,A-SSE.B,15.6.10
2,A4,1,4,A-REI.B,15.1.17
2,A4,2,1,A-SSE.B,15.8.20
2,A4,3,2,A-REI.D,15.8.17
2,A4,4,1,A-APR.B,15.1.24
2,A4,5,1,A-REI.B,15.1.07
2,A4,6,2,A-SSE.A,15.1.01
2,A4,7,4,A-CED.A,15.1.23
2,A4,8,3,A-REI.D,15.1.18
2,A4,9,3,A-CED.A,15.1.13
2,A4,10,4,A-SSE.B,15.1.19
2,F1,1,4,F-IF.A,14.8.24
2,F1,2,1,F-IF.A,14.8.11
2,F1,3,2,F-IF.C,14.8.22
2,F1,4,3,F-LE.A,14.8.12
2,F1,5,1,F-BF.B,14.8.17
2,F1,6,2,F-LE.B,14.8.02
2,F1,7,3,F-LE.A,14.8.10
2,F1,8,2,F-IF.B,14.8.23
2,F1,9,4,F-IF.B,14.8.14
2,F1,10,1,F-IF.C,14.8.08
2,F2,1,4,F-IF.B,14.6.02
2,F2,2,1,F-IF.A,14.6.20
2,F2,3,3,F-LE.B,14.6.07
2,F2,4,3,F-IF.A,15.8.12
2,F2,5,4,F-IF.A,14.6.21
2,F2,6,3,F-IF.B,14.6.09
2,F2,7,4,F-LE.A,14.6.06
2,F2,8,3,F-LE.A,14.6.15
2,F2,9,2,F-LE.A,14.6.24
2,F2,10,1,F-IF.B,14.6.18
2,F3,1,3,F-IF.A,15.6.04
2,F3,2,4,F-IF.A,15.6.09
2,F3,3,3,F-LE.B,15.6.01
2,F3,4,3,F-BF.A,15.6.22
2,F3,5,4,F-IF.C,15.8.21
2,F3,6,1,F-IF.C,15.6.07
2,F3,7,2,F-LE.A,15.6.13
2,F3,8,3,F-IF.C,15.6.14
2,F3,9,3,F-IF.B,15.6.11
2,F3,10,1,F-LE.A,15.6.15
2,F4,1,2,F-IF.C,15.8.16
2,F4,2,3,F-LE.A,15.8.18
2,F4,3,4,F-IF.C,15.1.09
2,F4,4,3,F-IF.A,15.1.20
2,F4,5,2,F-BF.B,15.1.12
2,F4,6,3,F-LE.A,15.1.05
2,F4,7,1,F-IF.B,15.1.21
2,F4,8,1,F-BF.A,15.1.04
2,F4,9,1,F-IF.A,15.1.08
2,F4,10,2,F-IF.B,15.1.06
3,A,1,2,A-SSE.B,16.1.01
3,A,2,3,F-IF.A,16.1.03
3,A,3,2,A-REI.D,16.1.05
3,A,4,2,F-IF.A,15.8.11
3,A,5,3,A-CED.A,16.1.06
3,A,6,3,F-IF.C,16.1.22
3,A,7,4,A-REI.B,16.1.07
3,A,8,1,F-LE.A,16.1.23
3,A,9,4,A-SSE.A,16.1.08
3,A,10,1,F-BF.B,16.1.20
3,A,11,1,A-SSE.B,16.1.09
3,A,12,2,F-IF.A,16.1.19
3,A,13,2,A-CED.A,16.1.11
3,A,14,4,F-IF.B,16.1.13
3,A,15,2,A-REI.B,16.1.14
3,A,16,1,F-IF.B,16.1.15
3,A,17,4,F-LE.A,16.1.16
3,A,18,1,A-REI.D,16.1.17
3,A,19,3,F-IF.A,16.1.18
3,A,20,4,A-REI.C,16.1.21
3,B,1,3,A-SSE.A,16.6.01
3,B,2,4,F-IF.B,16.6.23
3,B,3,4,A-SSE.A,16.6.02
3,B,4,1,F-IF.B,16.6.03
3,B,5,1,A-REI.C,16.6.05
3,B,6,1,F-LE.A,16.6.06
3,B,7,2,A-CED.A,16.6.07
3,B,8,2,F-IF.A,16.6.22
3,B,9,4,A-REI.B,16.6.09
3,B,10,4,F-IF.C,16.6.18
3,B,11,2,A-APR.A,16.6.10
3,B,12,2,F-IF.A,16.6.11
3,B,13,1,A-APR.B,16.6.12
3,B,14,3,F-IF.A,16.6.13
3,B,15,3,A-SSE.B,16.6.14
3,B,16,3,F-IF.C,16.6.16
3,B,17,2,A-CED.A,16.6.24
3,B,18,2,F-BF.A,16.6.17
3,B,19,3,A-REI.B,16.6.19
3,B,20,3,F-LE.A,16.6.21
3,C,1,3,F-IF.B,17.6.01
3,C,2,2,A-SSE.A,17.6.02
3,C,3,1,F-IF.A,17.6.05
3,C,4,4,A-REI.D,17.6.03
3,C,5,1,F-IF.B,15.8.15
3,C,6,3,A-SSE.A,17.6.06
3,C,7,1,F-IF.B,17.6.24
3,C,8,1,A-REI.C,17.6.08
3,C,9,2,F-IF.A,17.6.18
3,C,10,1,A-CED.A,17.6.07
3,C,11,3,F-IF.A,17.6.09
3,C,12,3,A-APR.B,17.6.10
3,C,13,3,F-IF.C,17.6.17
3,C,14,1,A-CED.A,17.6.11
3,C,15,2,F-LE.A,17.6.12
3,C,16,4,A-REI.B,17.6.13
3,C,17,4,F-IF.C,17.6.16
3,C,18,3,A-CED.A,17.6.23
3,C,19,3,F-LE.A,17.6.21
3,C,20,2,A-REI.B,17.6.22
4,A1,1,2,A-CED.A,14.8.13
4,A1,2,1,A-REI.B,14.8.20
4,A1,3,3,A-CED.A,14.8.09
4,A1,4,4,A-REI.D,14.8.05
4,A1,5,1,A-REI.D,14.8.07
4,A1,6,2,A-APR.A,14.8.06
4,A1,7,1,A-SSE.A,14.8.15
4,A1,8,2,A-SSE.A,15.6.17
4,A1,9,3,A-REI.B,14.8.03
4,A1,10,4,A-CED.A,14.8.19
4,A2,1,3,A-SSE.B,14.6.12
4,A2,2,1,A-CED.A,14.6.23
4,A2,3,2,A-REI.C,14.6.14
4,A2,4,1,A-REI.B,14.6.05
4,A2,5,2,A-CED.A,14.6.16
4,A2,6,4,A-CED.A,14.6.22
4,A2,7,2,A-REI.B,14.6.08
4,A2,8,1,A-REI.A,14.6.01
4,A2,9,2,A-REI.B,14.6.10
4,A2,10,2,A-REI.D,14.6.04
4,A3,1,1,A-REI.D,15.6.05
4,A3,2,3,A-REI.C,15.6.06
4,A3,3,2,A-SSE.A,15.6.03
4,A3,4,2,A-APR.B,15.6.12
4,A3,5,4,A-REI.B,15.6.18
4,A3,6,4,A-CED.A,15.6.24
4,A3,7,1,A-REI.A,15.6.21
4,A3,8,2,A-CED.A,15.6.19
4,A3,9,1,A-REI.B,15.6.23
4,A3,10,4,A-SSE.B,15.6.10
4,A4,1,4,A-REI.B,15.1.17
4,A4,2,1,A-SSE.B,15.8.20
4,A4,3,2,A-REI.D,15.8.17
4,A4,4,1,A-APR.B,15.1.24
4,A4,5,1,A-REI.B,15.1.07
4,A4,6,2,A-SSE.A,15.1.01
4,A4,7,4,A-CED.A,15.1.23
4,A4,8,3,A-REI.D,15.1.18
4,A4,9,3,A-CED.A,15.1.13
4,A4,10,4,A-SSE.B,15.1.19
4,F1,1,4,F-IF.A,14.8.24
4,F1,2,1,F-IF.A,14.8.11
4,F1,3,2,F-IF.C,14.8.22
4,F1,4,3,F-LE.A,14.8.12
4,F1,5,1,F-BF.B,14.8.17
4,F1,6,2,F-LE.B,14.8.02
4,F1,7,3,F-LE.A,14.8.10
4,F1,8,2,F-IF.B,14.8.23
4,F1,9,4,F-IF.B,14.8.14
4,F1,10,1,F-IF.C,14.8.08
4,F2,1,4,F-IF.B,14.6.02
4,F2,2,1,F-IF.A,14.6.20
4,F2,3,3,F-LE.B,14.6.07
4,F2,4,3,F-IF.A,15.8.12
4,F2,5,4,F-IF.A,14.6.21
4,F2,6,3,F-IF.B,14.6.09
4,F2,7,4,F-LE.A,14.6.06
4,F2,8,3,F-LE.A,14.6.15
4,F2,9,2,F-LE.A,14.6.24
4,F2,10,1,F-IF.B,14.6.18
4,F3,1,3,F-IF.A,15.6.04
4,F3,2,4,F-IF.A,15.6.09
4,F3,3,3,F-LE.B,15.6.01
4,F3,4,3,F-BF.A,15.6.22
4,F3,5,4,F-IF.C,15.8.21
4,F3,6,1,F-IF.C,15.6.07
4,F3,7,2,F-LE.A,15.6.13
4,F3,8,3,F-IF.C,15.6.14
4,F3,9,3,F-IF.B,15.6.11
4,F3,10,1,F-LE.A,15.6.15
4,F4,1,2,F-IF.C,15.8.16
4,F4,2,3,F-LE.A,15.8.18
4,F4,3,4,F-IF.C,15.1.09
4,F4,4,3,F-IF.A,15.1.20
4,F4,5,2,F-BF.B,15.1.12
4,F4,6,3,F-LE.A,15.1.05
4,F4,7,1,F-IF.B,15.1.21
4,F4,8,1,F-BF.A,15.1.04
4,F4,9,1,F-IF.A,15.1.08
4,F4,10,2,F-IF.B,15.1.06
5,1,1,2,A-CED.A,14.8.13
5,1,2,1,A-REI.B,14.8.20
5,1,3,3,A-CED.A,14.8.09
5,1,4,4,A-REI.D,14.8.05
5,1,5,1,A-REI.D,14.8.07
5,1,6,2,A-APR.A,14.8.06
5,1,7,1,A-SSE.A,14.8.15
5,1,8,2,A-SSE.A,15.6.17
5,1,9,3,A-REI.B,14.8.03
5,1,10,4,A-CED.A,14.8.19
5,2,1,3,A-CED.A,14.6.23
5,2,2,1,A-SSE.B,14.6.12
5,2,3,2,A-REI.C,14.6.14
5,2,4,1,A-REI.B,14.6.05
5,2,5,2,A-CED.A,14.6.16
5,2,6,4,A-CED.A,14.6.22
5,2,7,2,A-REI.B,14.6.08
5,2,8,1,A-REI.A,14.6.01
5,2,9,2,A-REI.B,14.6.10
5,2,10,2,A-REI.D,14.6.04
5,3,1,1,A-REI.D,15.6.05
5,3,2,3,A-REI.C,15.6.06
5,3,3,2,A-SSE.A,15.6.03
5,3,4,2,A-APR.B,15.6.12
5,3,5,4,A-REI.B,15.6.18
5,3,6,4,A-CED.A,15.6.24
5,3,7,1,A-REI.A,15.6.21
5,3,8,2,A-CED.A,15.6.19
5,3,9,1,A-REI.B,15.6.23
5,3,10,4,A-SSE.B,15.6.10
5,4,1,4,A-REI.B,15.1.17
5,4,2,1,A-SSE.B,15.8.20
5,4,3,2,A-REI.D,15.8.17
5,4,4,1,A-APR.B,15.1.24
5,4,5,1,A-REI.B,15.1.07
5,4,6,2,A-SSE.A,15.1.01
5,4,7,4,A-CED.A,15.1.23
5,4,8,3,A-REI.D,15.1.18
5,4,9,3,A-CED.A,15.1.13
5,4,10,4,A-SSE.B,15.1.19
6,1,1,2,A-CED.A,14.8.13
6,1,2,1,A-REI.B,14.8.20
6,1,3,3,A-CED.A,14.8.09
6,1,4,4,A-REI.D,14.8.05
6,1,5,1,A-REI.D,14.8.07
6,1,6,2,A-APR.A,14.8.06
6,1,7,1,A-SSE.A,14.8.15
6,1,8,2,A-SSE.A,15.6.17
6,1,9,3,A-REI.B,14.8.03
6,1,10,4,A-CED.A,14.8.19
6,2,1,3,A-CED.A,14.6.23
6,2,2,1,A-SSE.B,14.6.12
6,2,3,2,A-REI.C,14.6.14
6,2,4,1,A-REI.B,14.6.05
6,2,5,2,A-CED.A,14.6.16
6,2,6,4,A-CED.A,14.6.22
6,2,7,2,A-REI.B,14.6.08
6,2,8,1,A-REI.A,14.6.01
6,2,9,2,A-REI.B,14.6.10
6,2,10,2,A-REI.D,14.6.04
6,3,1,1,A-REI.D,15.6.05
6,3,2,3,A-REI.C,15.6.06
6,3,3,2,A-SSE.A,15.6.03
6,3,4,2,A-APR.B,15.6.12
6,3,5,4,A-REI.B,15.6.18
6,3,6,4,A-CED.A,15.6.24
6,3,7,1,A-REI.A,15.6.21
6,3,8,2,A-CED.A,15.6.19
6,3,9,1,A-REI.B,15.6.23
6,3,10,4,A-SSE.B,15.6.10
6,4,1,4,A-REI.B,15.1.17
6,4,2,1,A-SSE.B,15.8.20
6,4,3,2,A-REI.D,15.8.17
6,4,4,1,A-APR.B,15.1.24
6,4,5,1,A-REI.B,15.1.07
6,4,6,2,A-SSE.A,15.1.01
6,4,7,4,A-CED.A,15.1.23
6,4,8,3,A-REI.D,15.1.18
6,4,9,3,A-CED.A,15.1.13
6,4,10,4,A-SSE.B,15.1.19
